"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:01:57";0;1;45972876352,4306
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:01:57";0;1;45972876352,4306
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:06:57";0;1;45972879825,0694
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:06:57";0;1;45972879825,0694
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:06:57";0;1;45972879825,0694
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:11:57";0;1;45972883297,2454
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:11:57";0;1;45972883297,2454
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:11:57";0;1;45972883297,2454
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:16:57";0;1;45972886769,7222
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:16:57";0;1;45972886769,7222
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:16:57";0;1;45972886769,7222
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:21:57";0;1;45972890241,0648
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:21:57";0;1;45972890241,0648
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:21:57";0;1;45972890241,0648
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:26:57";0;1;45972893713,8773
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:26:57";0;1;45972893713,8773
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:26:57";0;1;45972893713,8773
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:31:57";0;1;45972897186,1343
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:31:57";0;1;45972897186,1343
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:31:57";0;1;45972897186,1343
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:36:57";0;1;45972900658,2639
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:36:57";0;1;45972900658,2639
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:36:57";0;1;45972900658,2639
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:41:57";0;1;45972904130,6597
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:41:57";0;1;45972904130,6597
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:41:57";0;1;45972904130,6597
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:46:57";0;1;45972907602,2222
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:46:57";0;1;45972907602,2222
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:46:57";0;1;45972907602,2222
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:51:57";0;1;45972911074,6528
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:51:57";0;1;45972911074,6528
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:51:57";0;1;45972911074,6528
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 21:56:57";0;1;45972914547,0023
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 21:56:57";0;1;45972914547,0023
"IO_SENSOR1_DATA_RCEa";"11/11/2025 21:56:57";0;1;45972914547,0023
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:01:57";0;1;45972918019,0278
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:01:57";0;1;45972918019,0278
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:01:57";0;1;45972918019,0278
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:06:57";0;1;45972921491,2269
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:06:57";0;1;45972921491,2269
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:06:57";0;1;45972921491,2269
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:11:57";0;1;45972924964,3287
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:11:57";0;1;45972924964,3287
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:11:57";0;1;45972924964,3287
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:16:57";0;1;45972928436,4699
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:16:57";0;1;45972928436,4699
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:16:57";0;1;45972928436,4699
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:21:57";0;1;45972931908,8542
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:21:57";0;1;45972931908,8542
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:21:57";0;1;45972931908,8542
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:26:57";0;1;45972935381,1343
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:26:57";0;1;45972935381,1343
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:26:57";0;1;45972935381,1343
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:31:57";0;1;45972938852,6736
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:31:57";0;1;45972938852,6736
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:31:57";0;1;45972938852,6736
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:36:57";0;1;45972942325,1042
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:36:57";0;1;45972942325,1042
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:36:57";0;1;45972942325,1042
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:41:57";0;1;45972945797,7662
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:41:57";0;1;45972945797,7662
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:41:57";0;1;45972945797,7662
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:46:57";0;1;45972949269,4907
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:46:57";0;1;45972949269,4907
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:46:57";0;1;45972949269,4907
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:51:57";0;1;45972952742,0255
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:51:57";0;1;45972952742,0255
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:51:57";0;1;45972952742,0255
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 22:56:57";0;1;45972956214,5139
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 22:56:57";0;1;45972956214,5139
"IO_SENSOR1_DATA_RCEa";"11/11/2025 22:56:57";0;1;45972956214,5139
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:01:57";0;1;45972959685,9838
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:01:57";0;1;45972959685,9838
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:01:57";0;1;45972959685,9838
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:06:57";0;1;45972963158,6806
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:06:57";0;1;45972963158,6806
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:06:57";0;1;45972963158,6806
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:11:57";0;1;45972966631,0301
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:11:57";0;1;45972966631,0301
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:11:57";0;1;45972966631,0301
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:16:57";0;1;45972970103,5532
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:16:57";0;1;45972970103,5532
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:16:57";0;1;45972970103,5532
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:21:57";0;1;45972973575,0926
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:21:57";0;1;45972973575,0926
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:21:57";0;1;45972973575,0926
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:26:57";0;1;45972977047,2685
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:26:57";0;1;45972977047,2685
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:26:57";0;1;45972977047,2685
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:31:57";0;1;45972980519,5833
"IO_RAW_SENSOR1_DATA_RCEa";"11/11/2025 23:31:57";0;1;45972980519,5833
"IO_SENSOR1_DATA_RCEa";"11/11/2025 23:31:57";0;1;45972980519,5833
"IO_BODY_TEMPERATURE_RCEa";"11/11/2025 23:36:57";0;1;45972983992,2569
